818;Hosp. A;ARISTON;30;42;AZCUENAGA 1657;RECOLETA;4805-7544;;-58.397;-34.59
345;Hosp. B;BRISAS DEL MAR;27;57;HUMBERTO 1º 0826;CONSTITUCION;4300-0040;info@hotelbrisasdelmar.com.ar;-58.3776;-34.6209
346;Hosp. B;BAHIA 1;10;42;CORRIENTES 1212 3º;SAN NICOLAS;4382-1780;anelluz@hotmail.com arhotelbahia@gmail.com;-58.3839;-34.6039
347;Hosp. B;BAHIA 2;18;22;CORRIENTES 1212;SAN NICOLAS;4382-1780;;-58.3839;-34.6039
341;Hosp. B;MEDITERRANEO;34;66;RODRIGUEZ PEÑA 0149;SAN NICOLAS;4372-2852;;-58.3907;-34.6073
810;Hosp. A;MI CASITA;13;22;ORTEGA Y GASSET 1975;PALERMO;4771-3126;;-58.4338;-34.5716
811;Hosp. A;SAN CARLOS;24;57;MORENO 3054;BALVANERA;4931-7823;;-58.4093;-34.614
812;Hosp. A;BAHIA;28;60;SANTIAGO DEL ESTERO 1691;CONSTITUCION;4304-5310;DAR DE BAJA;-58.3844;-34.628
814;Hosp. A;MONTMARTRE;30;65;SALTA 1173;CONSTITUCION;4304-4763;;-58.383;-34.6218
815;Hosp. A;ALDEANO I;43;86;LA RIOJA 0277;BALVANERA;4931-2980;aldeano1@hotelaldeano.com.ar;-58.4087;-34.6136
816;Hosp. A;MANZANARES;23;40;MANZANARES 2331/41;NUÑEZ;4702-6839;;-58.4685;-34.5469
817;Hosp. A;LEON;22;53;Callao 758;BALVANERA;4811-5054;hotel-leon@hotmail.com;-58.393;-34.6002
298;Hosp. A;DARIMAR;10;20;BELGRANO 1408;MONSERRAT;4381-8826;;-58.3863;-34.6135
296;Hosp. A;ORIENTAL ;36;73;MITRE BARTOLOME 1840;BALVANERA;4951-6427;ghoriental@hotmail.com;-58.3927;-34.6081
297;Hosp. A;ROMA;34;36;ACUÑA DE FIGUEROA 0422;ALMAGRO;4862-5993;;-58.4229;-34.6056
294;Hosp. A;BRASIL;40;56;BRASIL 1340;CONSTITUCION;4304-5441;;-58.385;-34.6283
295;Hosp. A;ACUARIO;21;45;GASCON 0553;ALMAGRO;4861-0213;;-58.4244;-34.6053
293;Hosp. A;CENTRAL;50;61;BRASIL 1327;CONSTITUCION;4304-3783;;-58.3848;-34.6282
